"_id","amount","balance","description","group","name","ref_id","transaction_date","type"
"5c7cf5ba8d9166396db0de0a",-868,25105,"Approved order 5c7cdb539e44fa06907aa382","TA","intrepidtours","00048056","2019-03-04 16:54:02","withdraw"
"5c7cf5a59e44fa06907aa41d",-868,25973,"Approved order 5c7cdb9a9e44fa06907aa384","TA","intrepidtours","00048055","2019-03-04 16:53:41","withdraw"
"5c7cdb9a9e44fa06907aa385",0,26841,"Make an order for an approval","TA","intrepidtours","5c7cdb9a9e44fa06907aa384","2019-03-04 15:02:34","tentative"
"5c7cdb539e44fa06907aa383",0,26841,"Make an order for an approval","TA","intrepidtours","5c7cdb539e44fa06907aa382","2019-03-04 15:01:23","tentative"
"5c7cdaed8d9166396db0dd84",0,26841,"Make an order for an approval","TA","intrepidtours","5c7cdaed8d9166396db0dd83","2019-03-04 14:59:41","tentative"
"5c7cdae59e44fa06907aa380",0,26841,"Make an order for an approval","TA","intrepidtours","5c7cdae59e44fa06907aa37f","2019-03-04 14:59:33","tentative"
"5c7cdac39e44fa06907aa37e",0,26841,"Make an order for an approval","TA","intrepidtours","5c7cdac39e44fa06907aa37d","2019-03-04 14:58:59","tentative"
"5c7cda508d9166396db0dd81",0,26841,"Make an order for an approval","TA","intrepidtours","5c7cda508d9166396db0dd80","2019-03-04 14:57:04","tentative"
"5c7c9c7d8d9166396db0dc9a",0,26841,"Make an order for an approval","TA","intrepidtours","5c7c9c7d8d9166396db0dc99","2019-03-04 10:33:17","tentative"
"5c7c834b9e44fa06907aa1d9",0,26841,"Final settlement","TA","intrepidtours","00047592","2019-03-04 08:45:47","confirmed"
"5c7c83158d9166396db0dbee",74,26841,"Update an order","TA","intrepidtours","00047592","2019-03-04 08:44:53","refund"
"5c7c812b9e44fa06907aa1c2",0,26767,"Final settlement","TA","intrepidtours","00047593","2019-03-04 08:36:43","confirmed"
"5c7c7fbe9e44fa06907aa19b",0,26767,"Split ticket","TA","intrepidtours","00047570","2019-03-04 08:30:38","split_confirmed"
"5c7c7fbe9e44fa06907aa19e",0,26767,"Split order from 00047570","TA","intrepidtours","00047950","2019-03-04 08:30:38","split"
"5c7c77a38d9166396db0db29",0,26767,"Final settlement","TA","intrepidtours","00047573","2019-03-04 07:56:03","confirmed"
"5c7c70e28d9166396db0daeb",0,26767,"Final settlement","TA","intrepidtours","00047585","2019-03-04 07:27:14","confirmed"
"5c7b2c728d9166396db0d7ab",0,26767,"Final settlement","TA","intrepidtours","00047591","2019-03-03 08:22:58","confirmed"
"5c7b2c128d9166396db0d7a1",124,26767,"Final ticket change","TA","intrepidtours","00047571","2019-03-03 08:21:22","confirm_refund"
"5c7afde58d9166396db0d6be",0,26643,"Final settlement","TA","intrepidtours","00047111","2019-03-03 05:04:21","confirmed"
"5c7a30b89e44fa06907a9af9",0,26643,"Final settlement","TA","intrepidtours","00047583","2019-03-02 14:28:56","confirmed"
"5c79eacd8d9166396db0d398",-62,26643,"Update an order","TA","intrepidtours","00047571","2019-03-02 09:30:37","extra"
"5c79dcd49e44fa06907a98d4",0,26705,"Final settlement","TA","intrepidtours","00047109","2019-03-02 08:31:00","confirmed"
"5c79d7d19e44fa06907a989d",0,26705,"Final settlement","TA","intrepidtours","00047590","2019-03-02 08:09:37","confirmed"
"5c78fa328d9166396db0d073",-124,26705,"Approved order 5c78f6f89e44fa06907a964a","TA","intrepidtours","00047593","2019-03-01 16:24:02","withdraw"
"5c78fa228d9166396db0d070",-148,26829,"Approved order 5c78f62f8d9166396db0d053","TA","intrepidtours","00047592","2019-03-01 16:23:46","withdraw"
"5c78fa129e44fa06907a9663",-111,26977,"Approved order 5c78f5f59e44fa06907a9647","TA","intrepidtours","00047591","2019-03-01 16:23:30","withdraw"
"5c78fa048d9166396db0d06d",-222,27088,"Approved order 5c78f56b8d9166396db0d051","TA","intrepidtours","00047590","2019-03-01 16:23:16","withdraw"
"5c78f6f89e44fa06907a964b",0,27310,"Make an order for an approval","TA","intrepidtours","5c78f6f89e44fa06907a964a","2019-03-01 16:10:16","tentative"
"5c78f62f8d9166396db0d054",0,27310,"Make an order for an approval","TA","intrepidtours","5c78f62f8d9166396db0d053","2019-03-01 16:06:55","tentative"
"5c78f5f59e44fa06907a9648",0,27310,"Make an order for an approval","TA","intrepidtours","5c78f5f59e44fa06907a9647","2019-03-01 16:05:57","tentative"
"5c78f56b8d9166396db0d052",0,27930,"Make an order for an approval","TA","intrepidtours","5c78f56b8d9166396db0d051","2019-03-01 16:03:39","tentative"
"5c78f56b9e44fa06907a9644",-620,27310,"Approved order 5c78f4fa8d9166396db0d04d","TA","intrepidtours","00047585","2019-03-01 16:03:39","withdraw"
"5c78f4fa8d9166396db0d04e",0,27930,"Make an order for an approval","TA","intrepidtours","5c78f4fa8d9166396db0d04d","2019-03-01 16:01:46","tentative"
"5c78f4568d9166396db0d04a",-124,27930,"Approved order 5c7899cf8d9166396db0cd63","TA","intrepidtours","00047583","2019-03-01 15:59:02","withdraw"
"5c78f04a9e44fa06907a9612",-620,28054,"Approved order 5c78ae449e44fa06907a933f","TA","intrepidtours","00047573","2019-03-01 15:41:46","withdraw"
"5c78f0349e44fa06907a960f",-620,28674,"Approved order 5c78b0db8d9166396db0ce94","TA","intrepidtours","00047572","2019-03-01 15:41:24","withdraw"
"5c78effd9e44fa06907a960c",-1054,29294,"Approved order 5c78b20a8d9166396db0ce9f","TA","intrepidtours","00047571","2019-03-01 15:40:29","withdraw"
"5c78efca8d9166396db0d018",-620,30348,"Approved order 5c78ee368d9166396db0d00e","TA","intrepidtours","00047570","2019-03-01 15:39:38","withdraw"
"5c78efa58d9166396db0d015",-222,30968,"Approved order 5c78ee878d9166396db0d010","TA","intrepidtours","00047569","2019-03-01 15:39:01","withdraw"
"5c78ee878d9166396db0d011",0,31190,"Make an order for an approval","TA","intrepidtours","5c78ee878d9166396db0d010","2019-03-01 15:34:15","tentative"
"5c78ee368d9166396db0d00f",0,31190,"Make an order for an approval","TA","intrepidtours","5c78ee368d9166396db0d00e","2019-03-01 15:32:54","tentative"
"5c78ebee8d9166396db0d004",0,31190,"Final settlement","TA","intrepidtours","00047108","2019-03-01 15:23:10","confirmed"
"5c78b20a8d9166396db0cea0",0,31190,"Make an order for an approval","TA","intrepidtours","5c78b20a8d9166396db0ce9f","2019-03-01 11:16:10","tentative"
"5c78b0db8d9166396db0ce95",0,31190,"Make an order for an approval","TA","intrepidtours","5c78b0db8d9166396db0ce94","2019-03-01 11:11:07","tentative"
"5c78ae449e44fa06907a9340",0,31190,"Make an order for an approval","TA","intrepidtours","5c78ae449e44fa06907a933f","2019-03-01 11:00:04","tentative"
"5c7899cf8d9166396db0cd64",0,31190,"Make an order for an approval","TA","intrepidtours","5c7899cf8d9166396db0cd63","2019-03-01 09:32:47","tentative"
"5c78924f9e44fa06907a92bb",0,31190,"Final settlement","TA","intrepidtours","00047117","2019-03-01 09:00:47","confirmed"
"5c7890ca9e44fa06907a92a7",0,31190,"Final settlement","TA","intrepidtours","00047118","2019-03-01 08:54:18","confirmed"
"5c788ecc8d9166396db0ccfc",0,31190,"Final settlement","TA","intrepidtours","00047119","2019-03-01 08:45:48","confirmed"
"5c788caf9e44fa06907a9255",62,31190,"Update an order","TA","intrepidtours","00047118","2019-03-01 08:36:47","refund"
"5c788adc8d9166396db0ccb6",74,31128,"Update an order","TA","intrepidtours","00047119","2019-03-01 08:29:00","refund"
"5c788a369e44fa06907a922b",0,31054,"Final settlement","TA","intrepidtours","00046666","2019-03-01 08:26:14","confirmed"
"5c77b7d38d9166396db0ca50",-111,31054,"Update an order","TA","intrepidtours","00047119","2019-02-28 17:28:35","extra"
